Name,Chemical_Formula,Category,Alpha,Epsilon,Thickness_or_Spec,University_or_Institution,Reference
Purdue BaSO4 Super-White Paint,BaSO4 (Barium Sulfate),Paints & Coatings,0.019,0.950,400 µm,Purdue University,Li et al. (ACS Appl. Mater. 2021)
Purdue CaCO3 Radiative Paint,CaCO3 (Calcium Carbonate),Paints & Coatings,0.045,0.955,400 µm,Purdue University,Li et al. (Cell Rep. Phys. Sci. 2020)
Al2O3 Nanoparticle Acrylic Paint,Al2O3 (Aluminum Oxide),Paints & Coatings,0.060,0.920,300 µm,Purdue University,Huang & Ruan (Int. J. Heat Mass 2017)
ZnO Nanoparticle Acrylic Paint,ZnO (Zinc Oxide),Paints & Coatings,0.080,0.910,250 µm,University of Florida,Atiganyanun et al. (ACS Photonics 2018)
SiO2 Particle Silicon Paint,SiO2 (Silicon Dioxide),Paints & Coatings,0.050,0.930,350 µm,KAIST,Chae et al. (ACS Appl. Mater. 2020)
BN (Boron Nitride) Nanosheet Paint,BN (Boron Nitride),Paints & Coatings,0.025,0.960,200 µm,Zhejiang University,Li et al. (Energy Environ. Sci. 2020)
Modified TiO2 Silica-Coated Paint,TiO2 / SiO2,Paints & Coatings,0.110,0.900,300 µm,University of Tehran,Zeyghami et al. (Solar Energy 2018)
Standard Commercial TiO2 White Exterior Paint,TiO2 (Titanium Dioxide),Paints & Coatings,0.200,0.880,150 µm,Commercial Benchmark,Commercial Benchmark Control
Commercial Acrylic White Paint,PMMA / TiO2,Paints & Coatings,0.180,0.890,200 µm,Commercial Benchmark,Commercial Benchmark Control
K2SO4 White Radiative Paint,K2SO4 (Potassium Sulfate),Paints & Coatings,0.035,0.940,300 µm,USTC,Pei et al. (Solar Energy Mat. 2021)
MgCO3 Particle Cooling Paint,MgCO3 (Magnesium Carbonate),Paints & Coatings,0.040,0.945,350 µm,Korea University,Son et al. (Adv. Opt. Mater. 2021)
CaSO4 Gypsum-Based Paint,CaSO4 (Calcium Sulfate),Paints & Coatings,0.055,0.930,400 µm,University of Florida,Atiganyanun et al. (Solar Energy 2020)
Columbia Porous P(VdF-HFP) Polymer Film,P(VdF-HFP),Polymers & Structural Films,0.040,0.960,300 µm,Columbia University,Mandal et al. (Science 2018)
